Company Name,Industry,Industry Category,Products/Services Offered,USP (Unique Selling Proposition) / Key Selling Points,Customer Target Segments,Customer Target Segments Category,Business Model,Business Model Category,Company Size Indicators,Company Size Category,Innovation Level Indicators,Geographic Reach,Geographic Reach Category,Website,Email,Phone,Source Document Section/Notes,Is Successful Partner,Partner_Targets_B2B,Partner_Target_Audience_Size_Over_1000,Targets_Specific_Industry_Type,Is_Startup,Is_AI_Software,Is_Innovative_Product,Is_Disruptive_Product,Is_VC_Funded,Is_SaaS_Software,Is_Complex_Solution,Is_Investment_Product,Avg Leads Per Day,Rank (1-47)
Health Works,Occupational Health Services (Specialist practice for occupational medicine),"Logistics Technology / Supply Chain Tech (SaaS, Health Focus)","Comprehensive occupational medical care (legally required basic care, specific and alternative care according to DGUV Regulation 2); Preventive medicine (mandatory, optional, and desired preventive check-ups, vaccination campaigns, general check-ups, travel medicine examinations); Risk assessment support (assistance in creating and updating risk assessments); Traffic medicine (examinations and vision tests for all classes of driving licenses); Fitness examinations (occupational medical fitness examinations and individual health checks).","Modern care concepts with dedicated contact persons, fast response times, and high availability; Operates according to current standards; Young practice with available capacity; Prevention & reduction of sick leave days; Ensures legal certainty & fulfillment of all regulatory requirements; On-site occupational health management; Individual and modern employee care; Tailored solutions; Holistic approach and modern occupational physician service.",Companies (B2B).,Healthcare Sector (B2B - Logistics Tenders); B2B (General),"Service-oriented (providing occupational health services to companies, including on-site).",SaaS,"""Young practice"" (suggests SME or startup).",Startup,"""Moderne Facharztpraxis"" (Modern specialist practice); ""moderne Betreuungskonzepte"" (modern care concepts); ""Betriebsarzt, aber in modern"" (occupational physician, but modern); ""arbeiten wir nach aktuellen Standards"" (we work according to current standards); ""moderne Betreuung"" (modern care); ""zukunftsorientierte Lösung"" (future-oriented solution); ""modernen Betriebsarzt-Service"" (modern occupational physician service).","Based in Tübingen, Germany. Likely regional (around Tübingen, as they offer on-site services).",DACH Region,healthworks.de,kontakt@healthworks.de,4970717501723,Kunde 6,True,True,True,B2B (General - use if no specific industry is clear but it's clearly B2B),True,False,True,False,Not Found,False,True,True,5,22
HospiChef UG (haftungsbeschränkt),Healthcare IT; SaaS (Software-as-a-Service); Digital Food Service Solutions for Clinics,Healthcare Technology / HealthTech (AI/MedTech),"Digital menu ordering system for clinics, featuring: digital patient ordering via own devices (smartphones/tablets); real-time communication platform for patients, service staff, and kitchen personnel; automated order processing (from menu planning to billing); intelligent analytics for process optimization and identification of improvement potentials.","Optimizes the catering process in clinics by involving patients; Reduces food waste; Decreases staff workload; Patient-centric, data-driven, and sustainable approach; Increases patient and staff satisfaction; Achieves economic and ecological benefits; Modern solution for efficient catering processes.",Modern clinics.,"Healthcare Sector (B2B - Hospitals, Clinics)",SaaS (providing a digital menu ordering system and related services to clinics).,SaaS,UG (haftungsbeschränkt) - this German legal form often indicates a smaller company or startup.,Startup,Innovative; Digital system; Digitization; Automation of processes; Data-driven; Intelligent analytics; Modern solution.,Germany (based on company address).,National (Germany),hospichef.com,kontakt@hospichef.com,,Kunde 11,True,True,True,Healthcare (Hospitals/Clinics),True,False,True,False,Not Found,True,True,False,5,23
MEDWING GmbH,Digital Recruitment Platform for Healthcare Professionals; Healthcare Staffing; HR Tech for Healthcare,Sales Consulting / Business Services,"Digital platform for direct access to a pool of 600,000+ healthcare candidates; Job board for companies to post ads and target professionals; Temporary staffing services (MEDWING NOW); International recruiting with integration support for qualified professionals from abroad; Additional headhunting services (candidate pre-selection).","Leading digital platform for healthcare staffing, described as the ""Stepstone of the healthcare industry""; Direct and quick access to a large pool (over 600,000) of qualified healthcare professionals; Employers retain control over the recruitment process, avoiding unreliable providers or complex application processes; Aims to sustainably solve staffing shortages in the healthcare sector; Revolutionizing healthcare recruitment through digital solutions.","Employers in the healthcare sector, including large hospitals/clinics (e.g., Charité, Vivantes, Sana) and smaller outpatient care services/nursing facilities.",B2B (General - German Mittelstand),Platform-based (offering access to a candidate pool); Job advertisement services; Temporary staffing agency services; Headhunting services.,Consulting / Project-Based,"Founded in 2017. The text mentions a candidate pool of over 600,000 professionals, but no direct indicators of employee count or company revenue are provided.",Unknown/Not Specified,"""Digital platform""; ""Innovative solutions""; ""Revolutionizes personnel placement in healthcare through digital solutions.""",Primarily Germany (implied by HQ in Berlin and focus on the German healthcare sector). Offers international recruiting (sourcing qualified professionals from abroad).,National (Germany),medwing.com,info@medwing.com,4930202380920,Kunde 15,True,True,True,Healthcare (Care Facilities); Healthcare (Hospitals/Clinics); Healthcare (General/Other),False,False,True,True,Not Found,True,True,False,5,24
Uberblick.io,Document Management Software; SaaS (Software as a Service),Food & Beverage (Gourmet Chocolate),"Innovative platform for digital document organization and management; Intelligent document management; Automatic sorting & tagging (AI-supported); Secure cloud solution (GDPR-compliant); Integration with existing systems (e.g., Microsoft 365, Google Drive, ERP systems); Fast search function.",AI-supported automatic sorting and tagging; GDPR-compliant secure cloud storage with high security standards; Integration with common business tools; Fast search functionality for quick document retrieval; Time savings through automated processes; Reduced search effort and full transparency; Reduction of errors and duplicate work; Easy collaboration through sharing and comment functions.,Companies (general),B2B (General); SMEs (Small & Medium Enterprises),"SaaS (implied by ""platform"" and ""cloud solution"")",Product-Driven (Physical),,Unknown/Not Specified,Innovative platform; Smart document management; Use of Artificial Intelligence (AI) for assignment and search.,"Not explicitly stated (however, DSGVO/GDPR compliance and German language suggest a focus on German-speaking markets or Europe).",National (Germany),uberblick.io,,,Kunde 35,True,True,True,B2B (General - use if no specific industry is clear but it's clearly B2B),Not Found,True,True,False,Not Found,True,True,False,3,25
Digitalagentur1,"Digital Agency; IT Services (Process Optimization, Automation); Digital Marketing (SEO, Online Marketing); E-commerce Development; Legal Tech Services (specializing in law firms).",IT Services / Platform (Tax/Legal Tech),"Web development & E-commerce (custom websites, platforms & online shops); SEO & Online Marketing (online visibility optimization, performance marketing & social media strategies); Automation & Digitization (implementation of efficient digital processes); Lead Generation & Conversion Optimization (customer acquisition & revenue increase strategies); Process optimization for law firms (efficient client management through digital workflows, DATEV specialization).","Special focus on process optimization for law firms; Expertise from within the legal field (""We come from the law firm ourselves""); Specialization in DATEV, offering solutions where DATEV's capabilities end; Holistic support from strategy to implementation; Enabling competitive advantages through innovative solutions.",Businesses (general); Law firms (specific focus).,"B2B (General - Businesses, Organizations requiring tech solutions & IT support)",Full-service digital agency; Service-oriented; Project-based (implied by custom development and strategy implementation).,Platform-Based / Subscription (Content),Not found.,…,Digitization; Automation; Digital processes; Innovative solutions.,"National (Germany) - implied by the "".de"" domain and specialization in DATEV (a predominantly German software).",National (Germany),digitalagentur1.de,,,Kunde 36,True,True,True,Legal Sector; Tax / Accounting Sector,Not Found,False,True,False,Not Found,False,True,True,3,26
project Service & Produktion GmbH,Automation Technology; Packaging Technology; Warehouse Logistics,Manufacturing Services / Supply Chain (PaaS),"Packaging and palletizing machines (e.g., PROPAC packing robot, PROPAL palletizer); Conveyor technology (for pallets and piece goods); Labeling solutions (e.g., PROLABEL R150 label applicator); Cobots and mobile robots (collaborative robots, automated guided vehicles); Support services (inspections, maintenance, training, 24-hour service hotline).","Over 30 years of experience; Tailor-made solutions for the entire end-of-line packaging process chain; Focus on flexible, ecologically sustainable, and cost-saving packaging processes.","Large enterprises; Food & Beverage industry (e.g., Coca-Cola, Nestlé); Pharmaceutical & Chemical industry (e.g., Bayer AG); Packaging & Logistics sector; Wood industry; Steel industry; Construction industry; Glass industry; Paper industry; Hygiene industry.",B2B (General - Companies with complex technical plants requiring maintenance and asset management),"Product-driven (sale of machinery and systems); Service-oriented (inspections, maintenance, training, support); Project-based (customized solutions).",PaaS (Manufacturing) / Service-Oriented,Part of the project group of companies; Over 30 years of experience (indicates stability/longevity). (Specific employee count or revenue figures not mentioned).,…,"Production automation; Robotics (Packroboter, Palettierer, Cobots, mobile robots/automated guided vehicles); Ecologically sustainable processes; Human-machine collaboration.","Germany (based on address; specific sales regions or operational scope beyond Germany not detailed in the text, though clients are international).",International / Global,project-sp.de,info@project-sp.de,490282691450,Kunde 51,True,True,True,Food & Beverage (Producers/Services); Manufacturing (Chemicals/Pharma Production); Logistics & Supply Chain Sector,False,False,False,False,Not Found,False,True,True,6,27
assemblean,Production as a Service (PaaS); Manufacturing Services,Healthcare Technology / HealthTech (AI/Voice Tech for Nursing),"Procurement & Sourcing (of components, optimization for complex components); Manufacturing & Production (from single parts to assemblies to finished products via a partner network); Assembly & Sub-assembly manufacturing (manual, semi-automated, fully automated; including joining techniques like welding, gluing, riveting); Quality Control (automated testing, on-site expert checks); Logistics & Supply Chain Management. Specific manufacturing processes offered include: Sheet metal processing, CNC milling, CNC turning, Laser cutting, Injection molding, Die casting, Welding, Gluing, Vacuum casting.",Cost efficiency through AI-supported processes; Flexible manufacturing processes for individual requirements; AI-supported production planning for maximum efficiency; A global network of over 500 production partners; Fast implementation through optimized procurement and manufacturing processes.,"Not explicitly stated, but implied to be businesses requiring manufacturing services to realize their products.",B2B (General - From Startups to SMEs),Production as a Service (PaaS); Service-oriented (coordinating and managing production through a partner network).,SaaS,Operates with a network of over 500 verified production partners. (No direct indicators of assemblean's own employee count or revenue mentioned).,Unknown/Not Specified,Use of Artificial Intelligence (AI) in processes; AI-supported production planning; Automated testing.,"Global (utilizing a global network of production partners). Headquartered in Paderborn, Germany.",Unknown / Not Specified,assemblean.com,,,Kunde 56,True,True,True,Manufacturing (General); B2B (General),Not Found,True,True,True,Not Found,True,True,False,8,28
visitronic GmbH,"IT Services; MSR (Measurement, Control, Regulation) Technology; Smart Home Technology; RFID Technology; Security Technology; Telecommunications (Data Networks, VoIP, Fiber Optics)",Software Development / AI Solutions,"Implementation and technical system realization of products in IT systems, MSR, smart home, and RFID technology; IT project support; IT coaching; IT consulting; IT services; System and plant administration; Installation and maintenance of burglary protection systems; Mobile and autonomous 24/7 security solutions; Consulting and implementation of innovative nurse call systems and light call systems; Planning and setup of fast data networks (including VoIP telephony and network technology for software applications); Installation of fiber optic cables for networking buildings and server rooms.","Independent IT service provider; Strong emphasis on fairness and trust with customers, suppliers, and employees; Aims to provide technical solutions that simplify daily life and create more time for essential things.",Senior residences and care facilities (specifically for nurse call systems); Other services likely target B2B clients needing IT and specialized technology solutions.,Skilled Trades / Crafts (B2B),"Service-oriented (IT services, consulting, coaching, project support, administration, maintenance); Project-based (implementation, installation).",SaaS / AI Solutions,"Not found (The text mentions a headquarters and additional service locations, but no specific terms like ""SME"" or employee numbers are provided.)",Unknown/Not Specified,"""innovative nurse call systems""; Specialization in Smarthome technology, RFID technology, and Fiber optics.","Regional (Germany: Headquarters in Dresden, with service locations in Saxony-Anhalt and Brandenburg).",DACH Region,www.visitronic.de,kontakt@visitronic.de,4935127181070,Kunde 69,True,True,True,Healthcare (Care Facilities); IT Services / Managed Services,Not Found,False,True,False,Not Found,False,True,True,3,29
MS Company Solutions GmbH,Consulting; Personnel Services (Recruitment); IT Project Management; Intercultural Training,HR / Recruitment,"Personnel placement (specializing in the healthcare sector, including managing the entire recruitment process); IT project management (consulting, development, and implementation of IT projects); Intercultural training (to bridge cultural differences and operate effectively in international contexts).",Tailored/customized solutions; Quick and effective filling of positions; Providing a broad range of qualified professionals; Time and cost savings through management of the entire recruitment process; Individual consulting to ensure the best possible fit for both employers and employees; Comprehensive expertise; Effective and innovative solutions designed to meet individual customer needs.,"B2B (companies); Specifically, companies in the healthcare sector (for personnel placement); Companies requiring IT project management; Companies operating in or preparing for international contexts (for intercultural training).",Healthcare Sector (B2B); B2B (General - IT Project Management & Intercultural Training),Service-oriented; Consulting-based; Project-based (for IT projects).,Consulting / Project-Based,"GmbH (German legal form for a limited liability company). No specific employee count or revenue figures mentioned. (Note: GmbH is a legal form, not a direct size indicator, but it's the only related term present.)",Unknown/Not Specified,"""Innovative solutions""; ""Development and implementation of IT projects.""","National (Germany, based in Braunschweig). Services (like intercultural training) are designed to support companies operating in international contexts.",National (Germany),mscompanysolutions.com,,4953122434806,Kunde 4,True,True,True,HR / Recruitment Services; Healthcare (General/Other); Consulting (General Business/Management - if not fitting a more specific tech/industry consulting),Not Found,False,False,False,Not Found,False,True,True,5,30
Medlytics GmbH,Healthcare Technology (AI-driven early warning systems for hospitals),Sales Consulting / Training,"AI-supported early warning systems for hospitals, including: ""Nephro"" (detects acute kidney failure); ""Delir"" (identifies delirium risks and cases); ""Honey"" (monitors patient glucose metabolism to prevent hypoglycemia); ""Nutri"" (detects malnutrition); Advanced diagnostics through AI (analysis of anonymized treatment data for early identification of critical health risks).","Early detection of complications (e.g., acute kidney failure up to 72 hours in advance with up to 85% accuracy; identifies 85% of delirium cases; detects malnutrition with 92% accuracy); Improves patient safety; Realizes significant economic benefits for hospitals; Registered medical product based on real patient lab data; High precision due to combination of AI-analysis and real lab data; Fast integration into existing hospital information systems.",Hospitals; Clinics.,B2B (General),Product-driven (offering digital solutions and registered medical products); Service-oriented (likely involving integration and support for their systems).,Consulting / Training,"Not found (the text mentions potential savings for a ""medium-sized hospital"" as a customer, not Medlytics' own size).",Unknown/Not Specified,Artificial intelligence (AI); AI-supported early warning systems; Digital solutions; Advanced AI diagnostics; Revolutionizing medical diagnostics; Combination of AI-supported analysis and real lab data.,National (Germany).,National (Germany),medlytics.ai,lutz@medlytics.ai,4927356588932,Kunde 13,True,True,True,Healthcare (Hospitals/Clinics),Not Found,True,True,True,Not Found,Not Found,True,True,4,31
GVS-GROSSVERBRAUCHERSPEZIALISTEN eG,Wholesale (specializing in professional cleaning and care products); Cleaning and Hygiene Supplies; Elderly Care Supplies.,HR / Recruitment (Green Energy Focus),"Over 120,000 articles including: Cleaning chemicals; Cleaning technology/equipment; Disinfection products; Washroom hygiene products; Elderly care products. Services include: Training and further education (GVS AKADEMIE) in product and application technology; Logistics full-service (nationwide delivery, express service); Technical service (maintenance and repair of cleaning machines and equipment).","Nationwide association of specialist wholesalers; Decades of experience (since 1976); Extensive product range (over 120,000 items) from over 100 leading manufacturers, offered as a ""product system from a single source""; Comprehensive services including nationwide training, logistics, and technical support by qualified specialists; Expertise in professional cleaning and care solutions.",Large-scale consumers/users (B2B); Professionals in the cleaning and care sector; Elderly care sector.,Aerospace / Aviation Sector (B2B),"Cooperative (eG) model, acting as an association of specialist wholesalers; Product-driven (sales of cleaning and care supplies); Service-oriented (training, logistics, technical services).",Consulting / Project-Based,"Nationwide association; Operates through a network of member companies; Product range of over 120,000 articles; Partners with over 100 leading manufacturers. (No specific employee count or revenue mentioned).",Unknown/Not Specified,"Offers training in ""product and application technology."" Focus on professional solutions and established expertise. No explicit claims of being 'innovative' or 'future-oriented' in terms of developing new technologies.",National (Germany).,International / Global,www.gvs-eg.de,zentrale@gvs-eg.de,4966749999150,Kunde 25,True,True,True,Healthcare (Care Facilities); Healthcare (Hospitals/Clinics); B2B (General),False,False,False,False,False,False,True,False,5,32
DasMerch,Custom Merchandise; Promotional Products; Brand Marketing Support,HR Technology / SaaS (Document Management),"Individual merchandise products (clothing, accessories, personalized items); Full-service production (from design through manufacturing to logistics); Sustainable and high-quality material options; E-commerce & logistics support (including direct online shop integration).","Customized solutions for brands & creators; High product quality; Sustainable manufacturing options; Flexible production quantities (from small batches to large orders); Full-service (design, production & shipping) from a single source; Maximum individuality.",Companies; Influencers; Brands; Creators.,High-Growth Individuals; Entrepreneurial Families,"Product-driven (custom merchandise); Service-oriented (full-service production from design to logistics, e-commerce support).",SaaS,"Not found (The text mentions ""flexible production quantities – from small batches to large orders,"" which indicates capability but not company size itself).",Unknown/Not Specified,Creative custom fabrications; E-commerce integration for online shops.,"Not found (The text is in German and the domain is .com, but no specific operational or sales region is mentioned).",National (Germany),dasmerch.com,,,Kunde 38,True,True,True,B2B (General); Media / Publishing / Entertainment; Retail (E-commerce),Not Found,False,False,False,Not Found,False,True,False,5,33
PNP Media,Digital Marketing Agency (Full-Service),Legal Technology / Tax Technology,"Web Design & Development (creation of modern, user-friendly websites and online shops); Search Engine Optimization (SEO); Search Engine Advertising (SEA) & Google Ads; Performance Marketing (development of data-driven marketing strategies); Social Recruiting; Branding & Print Materials.","Customer-oriented approach (close collaboration to develop individual, tailored strategies); Transparent communication (regular updates and direct contact persons); Innovative solutions (use of modern technologies and methods to stay current with digital developments).",Businesses.,"SMEs (Small & Medium Enterprises); B2B (General - Companies using DATEV, Tax Consultants, Auditors)",Service-oriented (offers a broad palette of services).,Agency-Based / Consulting,"""young, dynamic team"" (implies a smaller, agile company, possibly SME/startup).",Startup / Small,"""Innovative solutions""; ""Use of modern technologies and methods""; ""staying at the forefront of digital development.""","Leipzig, Germany (based in Leipzig).",National (Germany),pnp-media.de,info@pnp-media.de,4934125690080,Kunde 46,True,True,True,B2B (General),Not Found,False,True,False,Not Found,False,True,True,5,34
DEVIM - Software Solutions UG,Custom Software Development; IT Services,Legal Technology / SaaS (eSignature for DATEV users),"Custom office software development (including customer management, calendar integration, analysis/reporting, flexible invoicing); DailyCentral (modular digital office solution for self-employed individuals and small businesses)","Development of customized, innovative, and user-centric software solutions; Close collaboration with clients to tailor solutions precisely to their needs; Focus on a pleasant user journey with ease of use and avoidance of complexity.","Businesses (general, for custom solutions); Self-employed individuals and small businesses (specifically for DailyCentral).",Skilled Trades / Crafts (B2B),Service-oriented (custom software development); Potentially product-driven (for DailyCentral).,SaaS,"Founded in 2019; UG (German legal form often used by startups/SMEs); Targets ""small businesses"".",Startup,"Supports digital transformation; Develops ""innovative"" and ""user-centric"" applications; Expertise in software development and IT security.","National (Germany, based on address and contact information).",National (Germany),https://www.devim.de/,info@devim.de,4973489688884,Kunde 54,True,True,True,SMEs (General B2B - targeting small to medium businesses across various industries),False,False,True,False,Not Found,True,True,False,8,35
Smyczek Consulting e.K.,Consulting (specialized in mobile video surveillance and security technology),Software Development / SaaS (BPA - Digital Forms/Signatures),"Consulting (for market entry, product configuration, process development, marketing); Recruiting (for skilled professionals, using innovative approaches for passive talents); Coaching (leadership development for employee motivation and retention)",Over 15 years of experience in sales of construction machinery and mobile security systems; Tailor-made solutions; Transparent communication; Loyalty; Focus on sustainable growth in the security industry; Innovative recruiting approaches.,Installers of alarm and fire alarm systems; Security service providers and property surveillance companies; Companies in the security industry; Construction groups (requiring independent project consulting).,"B2B (General - Customers from Trade/Retail/Wholesale); Industry (B2B); Crafts (B2B - Carpenters, Painters); B2B (General - Joiners)","Service-oriented (consulting, recruiting, coaching).",SaaS,e.K. (German legal form typically indicating a sole proprietorship or very small business).,Sole Proprietorship,"""innovative Ansätze"" (innovative approaches) mentioned for recruiting.","Based in Braunschweig, Germany. (Implicitly national - Germany, given the .de domain and nature of services, though not explicitly stated beyond local base).",National (Germany),smyczekconsulting.de,info@smyczekconsulting.de,4917662021357,Kunde 49,True,True,True,Other Specific Niche B2B; Real Estate / Construction Sector,Not Found,False,True,False,Not Found,False,True,True,2,36
Alim Inkasso,Debt Collection and Receivables Management Services,EdTech / Creative Tech (VR/AR Focus),"Free debt collection (no upfront costs, payment only on success); AI-optimized debtor communication; Dunning & out-of-court debt collection; Judicial debt collection & enforcement; Credit assessment & risk management.","100% free for clients (no fees, no hidden costs, payment only on success); 99% success rate through AI-supported, appreciative debtor communication; Fast and efficient processing of outstanding claims; Legally compliant and fair solutions that protect long-term customer relationships; Individual support and transparent processes.",Companies from various industries.,B2B (General - Companies needing IT and specialized technology solutions),"Success-based fee model (client pays nothing upfront, payment only on successful recovery); Service-oriented.",Training / Education Provider (VR),Not found.,Unknown/Not Specified,AI-supported communication; AI-optimized debtor communication.,Not found (though the .de domain and German language imply a primary focus on Germany).,National (Germany),aliminkasso.de,,,Kunde 52,True,True,True,B2B (General - use if no specific industry is clear but it's clearly B2B),Not Found,True,True,False,Not Found,False,True,False,6,37
BlueCrest Inc.,Technology; Print Automation; Mail Automation; Package Automation; E-commerce Solutions,Business Consulting / Training (Pharmacy Focus),Production printers (high-performance for large volumes); Inserting systems (automated enveloping); Sorting systems (for letters and packages); Package automation (for e-commerce and intralogistics); Software solutions (for improving production processes and efficiency),Independent technology company; Comprehensive portfolio of solutions; Optimization of the entire process from data creation to delivery; Efficiency improvement through software and automation.,"Businesses requiring high-volume printing, mail processing, package sorting; E-commerce sector; Intralogistics.",Logistics & Supply Chain Sector (B2B); B2B (General - Companies aiming to optimize their shipping logistics),Product-driven (hardware and software sales); Solution-oriented.,Consulting / Training,Global presence; Branches worldwide.,Large,"Technology company; Automation (print, mail, package automation); Software solutions; Process optimization.","Global (Headquarters in Danbury, Connecticut, USA, with branches worldwide, including Europe, Asia, Australia, and a specific branch in Germany).",National (Germany),https://bluecrestinc.com,,18774067704,Kunde 53,True,True,True,Retail (E-commerce); Logistics & Supply Chain Sector; Large Enterprises (General B2B),False,False,False,False,Not Found,False,True,True,5,38
CareMates / Kuidado,Healthcare Software / Healthcare IT (specifically for care facilities),Healthcare Technology / HealthTech (SaaS),"Digital registration forms; AI-supported nursing anamnesis with risk assessment; Individual configuration of registration forms and admission processes; Asynchronous collaboration for inquiries; Automated notifications to relatives/legal guardians; Seamless data integration with existing primary systems (e.g., Connext Vivendi, Euregon Snap, CGM TopSoz, SENSO).","Significant time savings in patient admission (up to 80%, or 4 hours per admission); Digitalization and efficiency improvement of administrative tasks for nursing staff; AI-supported nursing anamnesis compliant with MD standards; Reduction of administrative burden; Seamless integration with existing systems; Developed in close cooperation with Caritas to meet real-world care needs.",Care facilities / Nursing homes,Healthcare Sector (B2B - Care Facilities),"Software solution provider (likely SaaS given the nature of the offering, e.g., online forms, AI, integration, customization)",SaaS,Founded by two individuals (Dylan Gruner and Sören Gunia). Mention of a pilot phase suggests it could be a startup or relatively new company. No specific employee count or revenue figures mentioned.,Startup,Innovative software solution; Digitization; AI-supported (KI-gestützte); Automation; Digital technologies.,"Germany (Headquartered in Altomünster, Germany; developed in cooperation with Caritas, a German organization).",National (Germany),caremates.de,,,Kunde 2,True,True,True,Healthcare (Care Facilities),True,True,True,False,Not Found,True,True,True,5,39
Linovy,AI Solutions; Cloud Development; Digital Automation; Funding Consulting (for digitalization projects),HR / Recruitment (Healthcare & International Focus),AI-supported automation (development of custom AI systems); Cloud technologies (consultation & implementation of scalable cloud solutions); Funding procurement (for digital automation solutions with AI); Prototyping & consultation (validation of ideas with ready-to-use solutions).,"Development of individual/custom AI solutions to help companies work more efficiently and stay ahead of the competition; Securing funding for clients, often covering entire project costs; Enabling significant efficiency increases, faster processes, better scalability, and convenient automated solutions through AI.",Companies (general B2B),Energy Sector (B2B); IT / Tech Companies (B2B); Manufacturing Sector (B2B - Mechatronics),"Service-oriented (consulting, development, implementation); Project-based (custom solutions).",Service-Oriented (Recruitment) / Training,,Unknown/Not Specified,Artificial Intelligence (AI); Cloud development; Digital automation; Custom AI solutions; Future-proof digitalization; AI transformation.,National (Germany),National (Germany),linovy.de,info@linovy.de,,Kunde 23,True,True,True,B2B (General - use if no specific industry is clear but it's clearly B2B),Not Found,True,True,False,Not Found,Not Found,True,True,5,40
Schlütersche Verlagsgesellschaft mbH & Co. KG,Media (Publishing & Digital Marketing Services),Logistics Technology / Supply Chain Tech (SaaS),"Specialist media (over 30 trade journals, books, and online media in sectors like crafts, construction, industry, automotive & mobility, animal health, economy, and education); Online marketing services for SMEs (including website creation, SEO, SEA, social media marketing); Directory media (e.g., ""Gelbe Seiten"" [Yellow Pages], ""Das Telefonbuch"" [The Phone Book]).","Long-standing tradition (founded 1747) combined with a modern, multimedia approach; Provider of specialized knowledge and marketing solutions tailored for small and medium-sized enterprises (SMEs); Offers a broad range of products and services.",Small and medium-sized enterprises (SMEs) in Germany.,Retail Sector (B2B); Hospitality Sector (B2B),"Diversified: publishing (print and digital media, books), service-oriented (marketing services), directory media.",SaaS,Media group (with various subsidiaries and multiple locations). (Specific employee count or revenue not mentioned.),Large,"Evolved into a ""modern, multimedia media group""; Offers ""digital services""; Provides ""online marketing services"" including website creation, SEO, SEA, and social media marketing.","National (Germany) - Headquarters in Hannover, with additional locations in Augsburg, Bielefeld, Karlsruhe, Leipzig, Magdeburg, Würzburg, Oldenburg, and Rostock.",National (Germany),www.schluetersche.de,info@schluetersche.de,4951185500,Kunde 66,True,True,True,SMEs (General B2B - targeting small to medium businesses across various industries); Real Estate / Construction Sector; Manufacturing (General),False,False,False,False,Not Found,False,True,True,1,41
Denkmal Zukunft GmbH & Co. KG,Business Process Optimization Consulting; Leadership Development; Change Management Consulting,Business Consulting / Management Consulting,Production optimization & efficiency improvement; Leadership development; Team performance optimization; Strategy & vision development support; Organizational development; Change management; LEGO® SERIOUS PLAY® Workshops; Funding consultancy (support for identifying and applying for grants).,"Focus on practical implementation rather than just theoretical consulting (""implementation instead of PowerPoint consulting""); 23 years of hands-on experience from shop floor to management; Deep understanding of company processes from multiple perspectives; Development of tailor-made, immediately implementable solutions; Commitment to accompanying the entire change process; Aim to make employees ""look forward to Monday"" by improving processes and reducing frustration.","Production companies; Service providers. (Mentions clients like Pfizer Pharma GmbH and Stadler Deutschland, suggesting capability to serve larger enterprises).",Manufacturing Sector (B2B); Service Providers (B2B General),"Service-oriented; Project-based consulting; Offers specific analyses (e.g., 3-5 day potential analysis) and hands-on implementation support.",Consulting / Project-Based,"Not found (The text does not specify employee count, revenue, or general terms like ""SME"" for Denkmal Zukunft itself, though it mentions large enterprise clients).",Unknown/Not Specified,"Use of LEGO® SERIOUS PLAY® (described as ""innovative workshops"" for creative problem-solving); Focus on ""future-oriented"" leadership concepts and ""future-proof"" structures; Aims for sustainable changes.","National (Germany, based in Kassel). (Mentions Stadler Deutschland as a client).",National (Germany),denkmalzukunft.com,info@denkmalzukunft.com,49056131701788,Kunde 1,True,True,True,Manufacturing (General); Manufacturing (Chemicals/Pharma Production); B2B (General),False,False,True,False,Not Found,False,True,True,2,42
vemeto GmbH,Business Consulting (specializing in GoBD compliance and process documentation),Automation Technology / E-commerce Solutions (Print & Packaging),Creation of procedural documentation (to ensure GoBD compliance); Process optimization; Training for implementing and maintaining optimized processes.,Certified consulting quality (audited by BVMW - Federal Association of Medium-Sized Businesses and recognized as a consultant for SMEs); Eligibility for state funding for consulting services (as a BAFA listed consultant); Focus on long-term partnerships with clients and their tax advisors.,Entrepreneurs; Tax advisors; Small and medium-sized enterprises (SMEs).,"Healthcare Sector (B2B - Nursing Staff, Nursing Trainees, Care Facilities/Healthcare Institutions)","Service-oriented (consulting, training); Franchise model.",Product-Driven (Hardware & Software),SME (implied by its BVMW certification as a consultant *for* medium-sized businesses).,SME (General),Process optimization (implying improvement of existing systems); Ensuring compliance with GoBD (which often involves digitization of documentation processes).,National (Germany).,International / Global,https://vemeto.de,info@vemeto.de,4962326778510,Kunde 48,True,True,True,Tax / Accounting Sector; SMEs (General B2B - targeting small to medium businesses across various industries),Not Found,False,False,False,Not Found,False,True,True,1,43
Tap to Tie,Sustainable Tech Products (specifically smart business cards),Market Research / Business Consulting,"Eco-friendly, reusable wooden business cards equipped with NFC technology and QR codes for digital contact sharing; Associated web service and related services (Note: these services will be discontinued from June 30, 2025).","*   Sustainable materials: Cards made from 100% real, FSC-certified wood, plastic-free.
    *   Ease of use: Quick contact sharing via NFC tap or QR code scan.
    *   Personalization: Custom design with name or company logo.
    *   Environmental commitment: Donates 5% of the purchase value to organizations fighting climate change.
    *   Innovative networking method.",Not found (Implied: Individuals and businesses looking to network in a sustainable and modern way).,B2B (General),Product-driven (sale of physical smart business cards).,Consulting / Project-Based,Not found.,Unknown/Not Specified,"NFC technology; QR code scanning; Described as an ""innovative way"" to expand network contacts.",Not found.,National (Germany),taptotie.com,,,Kunde 44,True,True,True,B2B (General - use if no specific industry is clear but it's clearly B2B),False,False,True,False,Not Found,True,False,False,2,44
